month,narrative,reporter_code,true_theme
0,work was stopped handrail footing slip housekeeping banksman stairs at the facility investigation initiated,slips_trips,slips_trips
0,work was stopped fell impact lanyard object load tool investigation initiated at the facility,dropped_objects,dropped_objects
0,at the facility pinch hand caught between during routine operations reported to supervisor corrosive glove point,hand_injuries,hand_injuries
0,no injury sustained stairs first aid administered trip handrail walkway mud cable work was stopped,slips_trips,slips_trips
0,wet surface walkway reported to supervisor cable footing first aid administered vehicle no injury sustained mud,slips_trips,slips_trips
0,no injury sustained collision seatbelt employee was speed reversing pedestrian first aid administered finger,vehicle_incidents,vehicle_incidents
0,sds employee was first aid administered exposure acid splash height chemical no injury sustained,chemical_exposure,chemical_exposure
0,caught between investigation initiated work was stopped hand point first aid administered valve handwheel wrench housekeeping,vehicle_incidents,hand_injuries
0,splash at the facility chemical during routine operations acid skin contact object reported to supervisor goggles,chemical_exposure,chemical_exposure
0,during routine operations height object scaffold fell forklift lanyard first aid administered work was stopped,dropped_objects,dropped_objects
0,finger seatbelt first aid administered hand wrench at the facility laceration during routine operations glove,hand_injuries,hand_injuries
0,laceration first aid administered finger wrench shackle valve handwheel caught between employee was investigation initiated,hand_injuries,hand_injuries
0,sds acid investigation initiated eyewash rigging goggles chemical first aid administered employee was,chemical_exposure,chemical_exposure
0,pinch trip stairs at the facility cable mud employee was investigation initiated housekeeping,slips_trips,slips_trips
0,vapor scaffold reported to supervisor deck below fell impact no injury sustained dropped first aid administered,slips_trips,dropped_objects
0,shackle load lifting plan rigging speed lift at the facility employee was first aid administered,lifting_ops,lifting_ops
0,spotter reversing speed vehicle seatbelt no injury sustained reported to supervisor during routine operations rigging,hand_injuries,vehicle_incidents
0,finger laceration glove no injury sustained caught between employee was reversing valve handwheel work was stopped,hand_injuries,hand_injuries
0,lift load pedestrian no injury sustained swing sling first aid administered crane at the facility,lifting_ops,lifting_ops
0,crane lifting plan banksman investigation initiated lift speed rigging work was stopped employee was,lifting_ops,lifting_ops
0,wrench during routine operations wrench laceration investigation initiated glove pinch point no injury sustained,hand_injuries,hand_injuries
0,stairs investigation initiated laceration work was stopped housekeeping wet surface reported to supervisor slip handrail,slips_trips,slips_trips
0,handrail employee was investigation initiated walkway cable work was stopped footing fell slip,slips_trips,slips_trips
0,handrail walkway housekeeping trip stairs employee was work was stopped reported to supervisor wet surface,slips_trips,slips_trips
0,laceration at the facility reported to supervisor pinch valve handwheel investigation initiated caught between glove deck below,hand_injuries,hand_injuries
0,employee was lifting plan crane vapor rigging first aid administered tagline work was stopped shackle,lifting_ops,lifting_ops
0,footing footing investigation initiated mud employee was at the facility slip housekeeping trip,lifting_ops,slips_trips
0,point laceration work was stopped dropped first aid administered hand wrench investigation initiated pinch,hand_injuries,hand_injuries
0,sling lifting plan rigging blind spot reported to supervisor crane load employee was work was stopped,lifting_ops,lifting_ops
0,scaffold at the facility during routine operations fell impact employee was point barricade dropped,dropped_objects,dropped_objects
0,wrench object reported to supervisor no injury sustained pinch glove hand at the facility caught between,hand_injuries,hand_injuries
